SourceID ra dec _25um_Flux_8pix _25um_Flux_8pix_err _25um_Flux_G2D _25um_Flux_G2D_err fwhm25 _37um_Flux_10_5pix _37um_Flux_10_5pix_err _37um_Flux_G2D _37um_Flux_G2D_err fwhm37 _25ApPhot_qflag _37ApPhot_qflag G2D25_qflag G2D37_qflag bkg_qflag25 bkg_qflag37 vExtFlag25 vExtFlag37
SFGC359.996-0.1440 266.543208 -29.014511 2.409 0.1211 1.733 0.04369 2.416 3.566 0.2989 2.155 0.1085 4.192 000 000 0 0.0 0 0 0 0
SFGC0.070+0.0465 266.40125 -28.852239 12.08 0.7626 15.26 1.674 19.3 45.4 2.422 39.39 3.76 17.92 000 000 0 0.0 1 1 1 1
SFGC0.023+0.0297 266.389708 -28.901203 15.95 0.4905 19.57 0.6411 11.5 31.73 1.041 28.06 1.259 13.97 000 000 0 0.0 1 0 0 0
SFGC359.427-0.0918 266.152125 -29.472847 5.454 0.9266 7.23 1.17 11.11 17.39 2.295 14.69 1.896 9.534 000 000 0 0.0 1 1 0 0
SFGC0.129-0.0204 266.501417 -28.836831 3.539 0.2922 4.342 0.2765 8.322 9.947 1.116 "" "" "" 000 000 0 1.0 0 0 0 0
SFGC0.527-0.0966 266.811417 -28.535989 5.84 0.1565 6.62 0.1466 8.24 8.771 0.383 7.805 0.3119 9.401 000 000 0 0.0 0 0 0 0
SFGC0.632-0.0277 266.805958 -28.410953 36 0.4994 43.16 0.5835 10.28 123.8 2.135 103.8 2.093 11.32 000 000 0 0.0 1 0 0 0
SFGC359.945-0.0449 266.415958 -29.0067 184.1 34.42 "" "" "" 374.3 42.95 "" "" "" 100 100 1 1.0 1 1 0 0
SFGC0.086+0.0111 266.44525 -28.857161 5.936 0.5528 7.023 0.5532 8.803 9.297 1.825 10.34 1.268 8.021 000 000 0 0.0 1 0 0 0
SFGC359.925+0.0153 266.34525 -28.992392 0.3979 0.1142 0.7426 0.04121 3.174 "" "" "" "" "" 001 111 0 1.0 0 0 0 0
SFGC0.305-0.0609 266.645417 -28.707447 1.051 0.1948 1.35 0.205 9.255 "" "" "" "" "" 000 111 0 1.0 0 0 0 0
SFGC0.108-0.0005 266.469625 -28.844292 1.956 0.2077 2.121 0.1499 6.348 1.529 0.4127 1.582 0.1849 5.172 000 001 0 0.0 0 0 0 0
SFGC0.062-0.1362 266.574625 -28.954372 9.628 0.1397 10.9 0.1354 8.523 15.61 0.3485 13.7 0.3112 10.31 000 000 0 0.0 0 0 0 0
SFGC0.033+0.0290 266.396208 -28.893083 20.22 0.2131 18.97 0.1122 3.987 28.26 0.4673 26.28 0.2483 5.352 000 000 0 0.0 0 0 0 0
SFGC359.945-0.0507 266.421708 -29.009425 540 25.15 639.6 30.68 10.73 843.9 20.23 704.8 22.32 12.74 000 000 0 0.0 1 1 0 0
SFGC359.982-0.0752 266.4675 -28.990889 174.8 0.858 198.7 0.8727 8.947 340.1 2.417 298.7 2.277 10.88 000 000 0 0.0 1 1 0 0
SFGC0.162-0.0365 266.536667 -28.817103 13.26 1.654 17.04 2.949 15.69 43.98 3.328 35.73 5.89 20.43 000 000 0 0.0 1 1 1 1
SFGC0.003+0.0163 266.390625 -28.92555 5.633 0.263 5.099 0.1002 3.353 5.37 0.58 6.51 0.1901 3.783 000 000 0 0.0 0 0 0 0
SFGC359.640-0.0840 266.272292 -29.286986 1.842 0.1868 1.348 0.0647 2.298 6.989 0.7988 "" "" "" 000 000 0 1.0 0 0 0 0
SFGC359.443-0.0002 266.071792 -29.411628 1.063 0.1042 1.114 0.04384 3.702 1.607 0.209 2.047 0.07064 3.901 000 000 0 0.0 0 0 0 0
SFGC0.636-0.1003 266.879417 -28.444553 3.483 0.08875 3.724 0.07217 7.152 15.69 0.3071 13.89 0.2641 9.93 000 000 0 0.0 0 0 0 0
SFGC0.044-0.0333 266.46375 -28.915894 1.27 0.1634 1.645 0.1153 6.206 2.386 0.4431 2.471 0.2418 6.301 000 000 0 0.0 0 0 0 0
SFGC0.616-0.0512 266.819792 -28.436314 7.594 0.1504 8.55 0.1452 8.493 18.31 0.4662 15.98 0.4778 11.83 000 000 0 0.0 0 0 0 0
SFGC359.458+0.0123 266.068958 -29.391817 3.178 0.1725 3.511 0.1397 7.122 7.8 0.2898 6.675 0.2551 10.16 000 000 0 0.0 0 0 0 0
SFGC0.189+0.0524 266.466167 -28.747811 4.492 0.3906 4.555 0.1678 3.779 6.111 0.4023 5.023 0.1349 3.871 000 000 0 0.0 1 0 0 0
SFGC359.990+0.0298 266.37 -28.929067 "" "" 1.259 0.1621 2.463 "" "" "" "" "" 010 110 0 1.0 1 1 0 1
SFGC0.007-0.0884 266.495375 -28.976297 1.643 0.09797 1.607 0.04571 4.104 2.914 0.378 2.566 0.2952 9.015 000 000 0 0.0 0 0 0 0
SFGC359.655-0.0667 266.264458 -29.264944 40.53 0.14 41.11 0.09696 6.094 61.56 0.3317 55.59 0.2416 8.41 000 000 0 0.0 0 0 0 0
SFGC0.113-0.0602 266.531042 -28.870833 12.59 0.1865 10.23 0.08036 3.79 18.13 0.4319 13.73 0.1976 5.282 000 000 0 0.0 0 0 0 0
SFGC0.215-0.0218 266.554 -28.763881 0.9392 0.1283 1 0.07011 4.804 "" "" 0.7949 0.1299 3.748 000 011 0 0.0 0 0 0 0
SFGC0.372+0.0338 266.593083 -28.600586 1.542 0.08114 1.415 0.02646 2.868 1.319 0.2066 1.239 0.05776 3.227 000 000 0 0.0 0 0 0 0
